title,price,voltage,location,condition,seller,url,image_url,category,page,spec_voltage,spec_power,spec_current_rating,spec_capacity,spec_kva_rating,Clean_Name,Current_A,Voltage_V,Power_W
30A TASHA MPPT Charge Controller,90000.0,24V,,,,,,Charge Controllers,1,24V,390W,00030A,,,TASHA MPPT Charge Controller,30,,
Charge Controller,43000.0,,,,,,,Charge Controllers,1,,,30A,,,Charge Controller,,,
PWM Charge Controler,14000.0,,,,,,,Charge Controllers,1,,,,30Ah,,PWM Charge Controler,,,
6.2kva Restarsolar Rt-Hy Series Hybrid Inverter Charger,480000.0,,,,,,,Charge Controllers,1,,,,,0006.2KVA,Restarsolar Rt Hy Series Hybrid Inverter Charger,,,6
"30A, MPPT Felicity Charge Controller",105000.0,,,,,,,Charge Controllers,1,,,00030A,,,MPPT Felicity Charge Controller,30,,
60a Sunfield Charge Controller,120000.0,,,,,,,Charge Controllers,1,,,00060A,,,Sunfield Charge Controller,60,,
80amps Charge Controllers,320000.0,,,,,,,Charge Controllers,1,,,00080A,,,Charge Controllers,80,,
60a MPPT Controller (Grovolt),175000.0,12V,,,,,,Charge Controllers,1,12V,,00060A,,,MPPT Controller Grovolt,60,,
100amps MPPT Charge Controller Felicity,330000.0,,,,,,,Charge Controllers,1,,,000100A,,,MPPT Charge Controller Felicity,100,,
60a Yohako Charger Controller MPPT,120000.0,,,,,,,Charge Controllers,1,,,00060A,,,Yohako Charger Controller MPPT,60,,
Xtra Power 80amps Mppt 12/24/48v Solar Charge Controller.,160000.0,48V,,,,,,Charge Controllers,1,48V,,80A,,,Xtra Power Mppt Solar Charge Controller,80,48,
Solar Charge Controller 100A,68500.0,,,,,,,Charge Controllers,1,,,,,,Solar Charge Controller,100,,
60a Primtex Charge Controller,110000.0,,,,,,,Charge Controllers,1,,,00060A,,,Primtex Charge Controller,60,,
100A Felicity Charge Controller 12v/24v/36v/48v,200000.0,12V,,,,,,Charge Controllers,1,12V,,000100A,,,Felicity Charge Controller,100,12/24/36/48,
Felicity Solar Charge Controller 80ah,195000.0,,,,,,,Charge Controllers,1,,,,,,Felicity Solar Charge Controller,80,,
60ahm Mppt Charge Controller,130000.0,,,,,,,Charge Controllers,1,,,,,,Mppt Charge Controller,60,,
40amps SMS Charge Controller Very Effective and Reliable,90000.0,,,,,,,Charge Controllers,1,,,00040A,,,SMS Charge Controller Very Effective and Reliable,40,,
YOHAKO Charge Controller 60A 48v,105000.0,,,,,,,Charge Controllers,1,,,60A,,,YOHAKO Charge Controller,60,48,
100amp Felicity Charger Controller,210000.0,,,,,,,Charge Controllers,1,,,000100A,,,Felicity Charger Controller,100,,
Felicity MPPT Charge Controller 60a 12v/24v/48v,141000.0,12V,,,,,,Charge Controllers,1,12V,,60A,,,Felicity MPPT Charge Controller,60,12/24/48,
Electric Fence Wire Fir With Alame,200000.0,,,,,,,Charge Controllers,1,,,,,,Electric Fence Wire Fir With Alame,,,
100A Felicity Solar Charge Controller,390000.0,,,,,,,Charge Controllers,1,,,000100A,,,Felicity Solar Charge Controller,100,,
120a Felicity Charge Controller,250000.0,,,,,,,Charge Controllers,1,,,000120A,,,Felicity Charge Controller,120,,
