title,price,voltage,location,condition,seller,url,image_url,category,page,spec_voltage,spec_kva_rating,spec_current_rating,spec_power,spec_capacity,Clean_Name,Current_A,Voltage_V,Apparent_kVA,Real_Watts
2.5kva Hybrid Inverter,280000,24V,,,,,,Solar Inverters,1,24V,0002.5KVA,,,,Hybrid Inverter,,,2.5,2000
Kartel 5kva Inverter,600000,,,,,,,Solar Inverters,1,,5KVA,,,,Kartel Inverter,,,5,4000
3.5kva 24v Famicare Inverter,380000,24V,,,,,,Solar Inverters,1,24V,0003.5KVA,,,,Famicare Inverter,,24,3.5,2800
"3kva, 24v Ipower Inverter",385000,24V,,,,,,Solar Inverters,1,24V,0003KVA,,,,Ipower Inverter,,24,3,2400
Full Set of 3.5kva 24v Installation,1652000,24V,,,,,,Solar Inverters,1,24V,3.5KVA,,,,Full Set of Installation,,24,3.5,2800
1.5kva 12v Mopower Inverter,150000,12V,,,,,,Solar Inverters,1,12V,0001.5KVA,,,,Mopower Inverter,,12,1.5,1200
Cworth Energy 6kva Hybrid Inverter With 125a MPPT Controller,650000,,,,,,,Solar Inverters,1,,6KVA,125A,,,Cworth Energy Hybrid Inverter With MPPT Controller,125,,6,4800
10kva 48V Ss Power Solar Inverters,950000,48V,,,,,,Solar Inverters,1,48V,00010KVA,,,,Ss Power Solar Inverters,,48,10,8000
25kva 48v Yohako Solar Inverter Is Available Now,1800000,48V,,,,,,Solar Inverters,1,48V,00025KVA,,,,Yohako Solar Inverter Is Available Now,,48,25,20000
2.5kva Inverter by Felicity,510000,,,,,,,Solar Inverters,1,,0002.5KVA,,,,Inverter by Felicity,,,2.5,2000
Dyna Byte All in One (Inverter+Controller+Battery),1500000,,,,,,,Solar Inverters,1,,5KVA,100A,,,Dyna Byte All in One Inverter Controller Battery,,,,
Anern 5.5kva Hybrid Inverter With 100A Inbuilt Controller,370000,,,,,,,Solar Inverters,1,,5.5KVA,100A,,,Anern Hybrid Inverter With Inbuilt Controller,100,,5.5,4400
Solar Inverter 1000w With Charge,60000,,,,,,,Solar Inverters,1,,,,1000W,,Solar Inverter With Charge,,,1,1000
1.6kva 24v Mopower Solar Inverter Garki,180000,24V,,,,,,Solar Inverters,1,24V,0001.6KVA,,,,Mopower Solar Inverter Garki,,24,1.6,1280
7.5kva Felicity Inverters,670000,,,,,,,Solar Inverters,1,,0007.5KVA,,,,Felicity Inverters,,,7.5,6000
3kva 24v Mo Power Inverter,250000,24V,,,,,,Solar Inverters,1,24V,0003KVA,,,,Mo Power Inverter,,24,3,2400
7.5kva 48v Felicity Inverter,620000,48V,,,,,,Solar Inverters,1,48V,0007.5KVA,,,,Felicity Inverter,,48,7.5,6000
Professional Inverter Synchronizing Service | Boost Your Power Output,60000,,,,,,,Solar Inverters,1,,,,,,Professional Inverter Synchronizing Service Boost Your Power Output,,,,
Deye 12kw 3phase Hybrid Inverter With Double Controller,2800000,,,,,,,Solar Inverters,1,,,,12KW,,Deye phase Hybrid Inverter With Double Controller,,,12,12000
3.5kva Famicare Hybrid 24v Inverters Available Now,350000,24V,,,,,,Solar Inverters,1,24V,0003.5KVA,,,,Famicare Hybrid Inverters Available Now,,24,3.5,2800
